TeamName	RegularSeasonRank	Record	PointsFor	PointsAgainst	PlayoffRank	ManagerName	Moves	Trades	DraftPosition
Simon2307	1	10-4-0	1,410.72	1,314.40	4	Simi	19	0	2
I_hate_Kowa	2	9-5-0	1,530.92	1,392.36	2	Tommy	19	1	8
Glizzy Gladiators	3	8-6-0	1,547.52	1,345.08	3	Benni	42	1	4
oG United	4	7-7-0	1,497.56	1,461.08	1	Erik	48	1	1
Andertheker	5	6-8-0	1,392.84	1,416.10	5	Ritz	20	2	6
Suckme Mourdock Network	6	6-8-0	1,310.60	1,433.60	8	Marv	24	1	5
Snatchville Lubricators	7	5-9-0	1,283.74	1,452.26	6	Kessi	15	0	7
Juschka	8	5-9-0	1,239.44	1,398.46	7	Juschka	23	0	3


