Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	Player	Pos	NFLTeam
1	1	1	Promille Boords	Julian	1	Marshawn Lynch	RB	SEA
1	2	2	WhoDatNation	Marvin	2	Eddie Lacy	RB	GB
1	3	3	Fetti EV	Benjamin	3	Odell Beckham	WR	NYG
1	4	4	colin's edelmaenner	Tommy	4	Adrian Peterson	RB	MIN
1	5	5	Kessinho10	marco	5	Le'Veon Bell	RB	PIT
1	6	6	Amari and Dorial GmbH	Simon	6	Russell Wilson	QB	SEA
1	7	7	Die Punter	Matthias	7	Rob Gronkowski	TE	NE
1	8	8	oG United	Erik	8	Jamaal Charles	RB	KC
2	9	1	oG United	Erik	8	Antonio Brown	WR	PIT
2	10	2	Die Punter	Matthias	7	Arian Foster	RB	HOU
2	11	3	Amari and Dorial GmbH	Simon	6	Matt Forte	RB	CHI
2	12	4	Kessinho10	marco	5	Jeremy Hill	RB	CIN
2	13	5	colin's edelmaenner	Tommy	4	Dez Bryant	WR	DAL
2	14	6	Fetti EV	Benjamin	3	LeSean McCoy	RB	BUF
2	15	7	WhoDatNation	Marvin	2	Calvin Johnson	WR	DET
2	16	8	Promille Boords	Julian	1	Demaryius Thomas	WR	DEN
3	17	1	Promille Boords	Julian	1	Jordy Nelson	WR	GB
3	18	2	WhoDatNation	Marvin	2	Aaron Rodgers	QB	GB
3	19	3	Fetti EV	Benjamin	3	C.J. Anderson	RB	DEN
3	20	4	colin's edelmaenner	Tommy	4	Andrew Luck	QB	IND
3	21	5	Kessinho10	marco	5	Julio Jones	WR	ATL
3	22	6	Amari and Dorial GmbH	Simon	6	A.J. Green	WR	CIN
3	23	7	Die Punter	Matthias	7	Randall Cobb	WR	GB
3	24	8	oG United	Erik	8	DeMarco Murray	RB	PHI
4	25	1	oG United	Erik	8	T.Y. Hilton	WR	IND
4	26	2	Die Punter	Matthias	7	Justin Forsett	RB	BAL
4	27	3	Amari and Dorial GmbH	Simon	6	Amari Cooper	WR	LV
4	28	4	Kessinho10	marco	5	Ben Roethlisberger	QB	PIT
4	29	5	colin's edelmaenner	Tommy	4	Alshon Jeffery	WR	CHI
4	30	6	Fetti EV	Benjamin	3	DeAndre Hopkins	WR	HOU
4	31	7	WhoDatNation	Marvin	2	Alfred Morris	RB	WAS
4	32	8	Promille Boords	Julian	1	Mark Ingram	RB	NO
5	33	1	Promille Boords	Julian	1	Drew Brees	QB	NO
5	34	2	WhoDatNation	Marvin	2	Jimmy Graham	TE	SEA
5	35	3	Fetti EV	Benjamin	3	Peyton Manning	QB	DEN
5	36	4	colin's edelmaenner	Tommy	4	LeGarrette Blount	RB	NE
5	37	5	Kessinho10	marco	5	Greg Olsen	TE	CAR
5	38	6	Amari and Dorial GmbH	Simon	6	Lamar Miller	RB	MIA
5	39	7	Die Punter	Matthias	7	Melvin Gordon	RB	LAC
5	40	8	oG United	Erik	8	Tony Romo	QB	DAL
6	41	1	oG United	Erik	8	Travis Kelce	TE	KC
6	42	2	Die Punter	Matthias	7	Ryan Tannehill	QB	MIA
6	43	3	Amari and Dorial GmbH	Simon	6	Dorial Green-Beckham	WR	TEN
6	44	4	Kessinho10	marco	5	Emmanuel Sanders	WR	DEN
6	45	5	colin's edelmaenner	Tommy	4	Julius Thomas	TE	JAC
6	46	6	Fetti EV	Benjamin	3	Antonio Gates	TE	LAC
6	47	7	WhoDatNation	Marvin	2	Brandin Cooks	WR	NO
6	48	8	Promille Boords	Julian	1	Jordan Matthews	WR	PHI
7	49	1	Promille Boords	Julian	1	Coby Fleener	TE	IND
7	50	2	WhoDatNation	Marvin	2	Frank Gore	RB	IND
7	51	3	Fetti EV	Benjamin	3	DeSean Jackson	WR	WAS
7	52	4	colin's edelmaenner	Tommy	4	Sammy Watkins	WR	BUF
7	53	5	Kessinho10	marco	5	Darren McFadden	RB	DAL
7	54	6	Amari and Dorial GmbH	Simon	6	Martellus Bennett	TE	CHI
7	55	7	Die Punter	Matthias	7	Nelson Agholor	WR	PHI
7	56	8	oG United	Erik	8	Rashad Jennings	RB	NYG
8	57	1	oG United	Erik	8	Stephen Gostkowski	K	NE
8	58	2	Die Punter	Matthias	7	Houston Texans	DEF	HOU
8	59	3	Amari and Dorial GmbH	Simon	6	Seattle Seahawks	DEF	SEA
8	60	4	Kessinho10	marco	5	Andre Ellington	RB	ARI
8	61	5	colin's edelmaenner	Tommy	4	Buffalo Bills	DEF	BUF
8	62	6	Fetti EV	Benjamin	3	Joique Bell	RB	DET
8	63	7	WhoDatNation	Marvin	2	Jarvis Landry	WR	MIA
