Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	Player	Pos	NFLTeam
1	1	1	pls kill me United	Erik	1	Christian McCaffrey	RB	CAR
1	2	2	Every day im Russelln	Simon	2	Saquon Barkley	RB	NYG
1	3	3	The Big Tebowski	Tommy	3	Michael Thomas	WR	NO
1	4	4	Snatchville Lubricators	Marco	4	Ezekiel Elliott	RB	DAL
1	5	5	Promille Boords	Julian	5	Alvin Kamara	RB	NO
1	6	6	WhoDatNation	Marvin	6	Dalvin Cook	RB	MIN
1	7	7	Brick Squad	Benjamin	7	Derrick Henry	RB	TEN
1	8	8	Josefs Kellerboys	Matthias	8	DeAndre Hopkins	WR	ARI
2	9	1	Josefs Kellerboys	Matthias	1	Aaron Jones	RB	GB
2	10	2	Brick Squad	Benjamin	2	Nick Chubb	RB	CLE
2	11	3	WhoDatNation	Marvin	3	Travis Kelce	TE	KC
2	12	4	Promille Boords	Julian	4	Josh Jacobs	RB	LV
2	13	5	Snatchville Lubricators	Marco	5	Davante Adams	WR	GB
2	14	6	The Big Tebowski	Tommy	6	Tyreek Hill	WR	KC
2	15	7	Every day im Russelln	Simon	7	Joe Mixon	RB	CIN
2	16	8	pls kill me United	Erik	8	Miles Sanders	RB	PHI
3	17	1	pls kill me United	Erik	1	Chris Godwin	WR	TB
3	18	2	Every day im Russelln	Simon	2	Julio Jones	WR	ATL
3	19	3	The Big Tebowski	Tommy	3	Austin Ekeler	RB	LAC
3	20	4	Snatchville Lubricators	Marco	4	George Kittle	TE	SF
3	21	5	Promille Boords	Julian	5	Patrick Mahomes	QB	KC
3	22	6	WhoDatNation	Marvin	6	Kenny Golladay	WR	DET
3	23	7	Brick Squad	Benjamin	7	Lamar Jackson	QB	BAL
3	24	8	Josefs Kellerboys	Matthias	8	Kenyan Drake	RB	ARI
4	25	1	Josefs Kellerboys	Matthias	1	Mike Evans	WR	TB
4	26	2	Brick Squad	Benjamin	2	Mark Andrews	TE	BAL
4	27	3	WhoDatNation	Marvin	3	Chris Carson	RB	SEA
4	28	4	Promille Boords	Julian	4	Adam Thielen	WR	MIN
4	29	5	Snatchville Lubricators	Marco	5	Todd Gurley	RB	ATL
4	30	6	The Big Tebowski	Tommy	6	Amari Cooper	WR	DAL
4	31	7	Every day im Russelln	Simon	7	JuJu Smith-Schuster	WR	PIT
4	32	8	pls kill me United	Erik	8	Allen Robinson	WR	CHI
5	33	1	pls kill me United	Erik	1	Clyde Edwards-Helaire	RB	KC
5	34	2	Every day im Russelln	Simon	2	Leonard Fournette	RB	TB
5	35	3	The Big Tebowski	Tommy	3	James Conner	RB	PIT
5	36	4	Snatchville Lubricators	Marco	4	D.J. Moore	WR	CAR
5	37	5	Promille Boords	Julian	5	Odell Beckham Jr.	WR	CLE
5	38	6	WhoDatNation	Marvin	6	Melvin Gordon	RB	DEN
5	39	7	Brick Squad	Benjamin	7	A.J. Brown	WR	TEN
5	40	8	Josefs Kellerboys	Matthias	8	Zach Ertz	TE	PHI
6	41	1	Josefs Kellerboys	Matthias	1	Keenan Allen	WR	LAC
6	42	2	Brick Squad	Benjamin	2	David Johnson	RB	HOU
6	43	3	WhoDatNation	Marvin	3	DK Metcalf	WR	SEA
6	44	4	Promille Boords	Julian	4	Cooper Kupp	WR	LA
6	45	5	Snatchville Lubricators	Marco	5	Jonathan Taylor	RB	IND
6	46	6	The Big Tebowski	Tommy	6	Courtland Sutton	WR	DEN
6	47	7	Every day im Russelln	Simon	7	Tyler Lockett	WR	SEA
6	48	8	pls kill me United	Erik	8	Calvin Ridley	WR	ATL
7	49	1	pls kill me United	Erik	1	David Montgomery	RB	CHI
7	50	2	Every day im Russelln	Simon	2	Raheem Mostert	RB	SF
7	51	3	The Big Tebowski	Tommy	3	Le'Veon Bell	RB	KC
7	52	4	Snatchville Lubricators	Marco	4	Mark Ingram	RB	BAL
7	53	5	Promille Boords	Julian	5	Devin Singletary	RB	BUF
7	54	6	WhoDatNation	Marvin	6	Terry McLaurin	WR	WAS
7	55	7	Brick Squad	Benjamin	7	Robert Woods	WR	LA
7	56	8	Josefs Kellerboys	Matthias	8	Stefon Diggs	WR	BUF
8	57	1	Josefs Kellerboys	Matthias	1	Tevin Coleman	RB	SF
8	58	2	Brick Squad	Benjamin	2	DeVante Parker	WR	MIA
8	59	3	WhoDatNation	Marvin	3	Dak Prescott	QB	DAL
8	60	4	Promille Boords	Julian	4	D.J. Chark	WR	JAX
8	61	5	Snatchville Lubricators	Marco	5	Deshaun Watson	QB	HOU
8	62	6	The Big Tebowski	Tommy	6	D’Andre Swift	RB	DET
8	63	7	Every day im Russelln	Simon	7	Russell Wilson	QB	SEA
8	64	8	pls kill me United	Erik	8	Cam Akers	RB	LA
9	65	1	pls kill me United	Erik	1	Kyler Murray	QB	ARI
9	66	2	Every day im Russelln	Simon	2	T.Y. Hilton	WR	IND
9	67	3	The Big Tebowski	Tommy	3	Marquise Brown	WR	BAL
9	68	4	Snatchville Lubricators	Marco	4	A.J. Green	WR	CIN
9	69	5	Promille Boords	Julian	5	J.K. Dobbins	RB	BAL
9	70	6	WhoDatNation	Marvin	6	Brandin Cooks	WR	HOU
9	71	7	Brick Squad	Benjamin	7	Michael Gallup	WR	DAL
9	72	8	Josefs Kellerboys	Matthias	8	Julian Edelman	WR	NE
10	73	1	Josefs Kellerboys	Matthias	1	Kareem Hunt	RB	CLE
10	74	2	Brick Squad	Benjamin	2	Ronald Jones	RB	TB
10	75	3	WhoDatNation	Marvin	3	Jordan Howard	RB	
10	76	4	Promille Boords	Julian	4	Darren Waller	TE	LV
10	77	5	Snatchville Lubricators	Marco	5	Jarvis Landry	WR	CLE
10	78	6	The Big Tebowski	Tommy	6	Rob Gronkowski	TE	TB
10	79	7	Every day im Russelln	Simon	7	Kerryon Johnson	RB	DET
10	80	8	pls kill me United	Erik	8	Derrius Guice	RB	
11	81	1	pls kill me United	Erik	1	Tyler Higbee	TE	LA
11	82	2	Every day im Russelln	Simon	2	Evan Engram	TE	NYG
11	83	3	The Big Tebowski	Tommy	3	CeeDee Lamb	WR	DAL
11	84	4	Snatchville Lubricators	Marco	4	N'Keal Harry	WR	NE
11	85	5	Promille Boords	Julian	5	San Francisco 49ers	DEF	SF
11	86	6	WhoDatNation	Marvin	6	Baltimore Ravens	DEF	BAL
11	87	7	Brick Squad	Benjamin	7	Darius Slayton	WR	NYG
11	88	8	Josefs Kellerboys	Matthias	8	Matt Ryan	QB	ATL
12	89	1	Josefs Kellerboys	Matthias	1	Sony Michel	RB	NE
12	90	2	Brick Squad	Benjamin	2	Tyler Boyd	WR	CIN
12	91	3	WhoDatNation	Marvin	3	Wil Lutz	K	NO
12	92	4	Promille Boords	Julian	4	Zack Moss	RB	BUF
12	93	5	Snatchville Lubricators	Marco	5	Phillip Lindsay	RB	DEN
12	94	6	The Big Tebowski	Tommy	6	Matthew Stafford	QB	DET
12	95	7	Every day im Russelln	Simon	7	Pittsburgh Steelers	DEF	PIT
12	96	8	pls kill me United	Erik	8	Ke’Shawn Vaughn	RB	TB
13	97	1	pls kill me United	Erik	1	Diontae Johnson	WR	PIT
13	98	2	Every day im Russelln	Simon	2	Henry Ruggs III	WR	LV
13	99	3	The Big Tebowski	Tommy	3	T.J. Hockenson	TE	DET
13	100	4	Snatchville Lubricators	Marco	4	Jerry Jeudy	WR	DEN
13	101	5	Promille Boords	Julian	5	Jalen Reagor	WR	PHI
13	102	6	WhoDatNation	Marvin	6	Marlon Mack	RB	IND
13	103	7	Brick Squad	Benjamin	7	Damien Williams	RB	
13	104	8	Josefs Kellerboys	Matthias	8	Harrison Butker	K	KC
14	105	1	Josefs Kellerboys	Matthias	1	New England Patriots	DEF	NE
14	106	2	Brick Squad	Benjamin	2	Justin Tucker	K	BAL
14	107	3	WhoDatNation	Marvin	3	Anthony Miller	WR	CHI
14	108	4	Promille Boords	Julian	4	Sam Ficken	K	
14	109	5	Snatchville Lubricators	Marco	5	Buffalo Bills	DEF	BUF
14	110	6	The Big Tebowski	Tommy	6	Brandon Aiyuk	WR	SF
14	111	7	Every day im Russelln	Simon	7	Matt Prater	K	DET
14	112	8	pls kill me United	Erik	8	Greg Zuerlein	K	DAL
