Round	Overall	PickInRound	TeamName	ManagerName	OriginalSlot	Player	Pos	NFLTeam
10	77	5	WhoDatNation	Marvin	5	LeSean McCoy	RB	KC
10	78	6	The Big Tebowski	Tommy	6	Darrell Henderson	RB	LA
10	79	7	Every day im Russelln	Simon	7	Jordan Howard	RB	PHI
10	80	8	Snatchville Lubricators	Marco	8	Peyton Barber	RB	TB
11	81	1	Snatchville Lubricators	Marco	1	Sterling Shepard	WR	NYG
11	82	2	Every day im Russelln	Simon	2	Jared Cook	TE	NO
11	83	3	The Big Tebowski	Tommy	3	David Njoku	TE	CLE
11	84	4	WhoDatNation	Marvin	4	Christian Kirk	WR	ARI
11	85	5	oG United	Erik	5	Baker Mayfield	QB	CLE
11	86	6	Promille Boords	Julian	6	Mohamed Sanu	WR	NE
11	87	7	Suffering Bastards	Matthias	7	Marvin Jones	WR	DET
11	88	8	Straight Into Rehab	Benjamin	8	Dante Pettis	WR	SF
12	89	1	Straight Into Rehab	Benjamin	1	Chicago Bears	DEF	CHI
12	90	2	Suffering Bastards	Matthias	2	Matt Ryan	QB	ATL
12	91	3	Promille Boords	Julian	3	Adrian Peterson	RB	WAS
12	92	4	oG United	Erik	4	Latavius Murray	RB	NO
12	93	5	WhoDatNation	Marvin	5	Los Angeles Rams	DEF	LA
12	94	6	The Big Tebowski	Tommy	6	Kareem Hunt	RB	CLE
12	95	7	Every day im Russelln	Simon	7	Baltimore Ravens	DEF	BAL
12	96	8	Snatchville Lubricators	Marco	8	Robby Anderson	WR	NYJ
13	97	1	Snatchville Lubricators	Marco	1	Houston Texans	DEF	HOU
13	98	2	Every day im Russelln	Simon	2	D.K. Metcalf	WR	SEA
13	99	3	The Big Tebowski	Tommy	3	Will Fuller	WR	HOU
13	100	4	WhoDatNation	Marvin	4	Noah Fant	TE	DEN
13	101	5	oG United	Erik	5	Jacksonville Jaguars	DEF	JAX
13	102	6	Promille Boords	Julian	6	Drew Brees	QB	NO
13	103	7	Suffering Bastards	Matthias	7	Courtland Sutton	WR	DEN
13	104	8	Straight Into Rehab	Benjamin	8	N'Keal Harry	WR	NE
14	105	1	Straight Into Rehab	Benjamin	1	Jordan Reed	TE	WAS
14	106	2	Suffering Bastards	Matthias	2	Minnesota Vikings	DEF	MIN
14	107	3	Promille Boords	Julian	3	Los Angeles Chargers	DEF	LAC
14	108	4	oG United	Erik	4	Greg Zuerlein	K	LA
14	109	5	WhoDatNation	Marvin	5	Wil Lutz	K	NO
14	110	6	The Big Tebowski	Tommy	6	Aldrick Rosas	K	NYG
14	111	7	Every day im Russelln	Simon	7	Eric Ebron	TE	IND
14	112	8	Snatchville Lubricators	Marco	8	Ronald Jones	RB	TB
15	113	1	Snatchville Lubricators	Marco	1	Stephen Gostkowski	K	NE
15	114	2	Every day im Russelln	Simon	2	Justin Tucker	K	BAL
15	115	3	The Big Tebowski	Tommy	3	Dede Westbrook	WR	JAX
15	116	4	WhoDatNation	Marvin	4	Corey Davis	WR	TEN
15	117	5	oG United	Erik	5	Geronimo Allison	WR	GB
15	118	6	Promille Boords	Julian	6	Harrison Butker	K	KC
15	119	7	Suffering Bastards	Matthias	7	Russell Wilson	QB	SEA
15	120	8	Straight Into Rehab	Benjamin	8	Kyler Murray	QB	ARI
