Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benjamin,5,L. Jackson QB - BAL Q ,17.56,D. Henry RB - TEN ,8.40,N. Chubb RB - CLE ,25.30,R. Woods WR - LA ,9.30,M. Gallup WR - DAL ,5.80,M. Andrews TE - BAL ,2.90,D. Johnson RB - HOU ,5.00,J. Tucker K - BAL ,15.00,Chiefs DEF ,5.00,E. Sanders WR - NO ,1.80,T. Boyd WR - CIN ,13.20,R. Jones RB - TB ,8.70,J. Allen QB - BUF ,34.50,A. Brown WR - TEN Q ,0.00,A. Gibson RB - WAS ,11.20,94.26,marco,106.00
Erik,2,K. Murray QB - ARI Q ,32.14,C. McCaffrey RB - CAR Q ,20.80,M. Sanders RB - PHI Q ,17.10,A. Robinson WR - CHI ,3.30,C. Ridley WR - ATL ,22.90,H. Henry TE - LAC ,8.30,C. Edwards-Helaire RB - KC ,7.00,G. Zuerlein K - DAL ,10.00,Bears DEF ,12.00,D. Freeman RB ,0.00,W. Fuller WR - HOU ,0.00,C. Godwin WR - TB ,0.00,D. Goedert TE - PHI Q ,3.00,D. Montgomery RB - CHI ,18.70,D. Slayton WR - NYG ,3.30,133.54,Simon,87.22
Matthias,4,A. Rodgers QB - GB ,18.20,K. Drake RB - ARI ,9.50,A. Jones RB - GB Q ,41.60,D. Hopkins WR - ARI ,12.80,M. Evans WR - TB ,16.40,Z. Ertz TE - PHI ,4.20,K. Allen WR - LAC ,9.60,H. Butker K - KC ,13.00,Vikings DEF ,4.00,M. Ryan QB - ATL ,28.52,J. Edelman WR - NE IR ,17.90,T. Coleman RB - SF ,4.00,S. Diggs WR - BUF ,21.30,K. Hunt RB - CLE ,22.10,S. Michel RB - NE ,1.90,129.30,Tommy,89.38
Marvin,1,D. Prescott QB - DAL IR ,39.80,D. Cook RB - MIN ,15.10,J. Robinson RB - JAX Q ,18.00,A. Miller WR - CHI ,0.00,D. Metcalf WR - SEA ,15.20,T. Kelce TE - KC ,15.00,C. Carson RB - SEA ,16.80,W. Lutz K - NO ,6.00,Ravens DEF ,15.00,B. Cooks WR - HOU ,9.50,M. Gordon RB - DEN ,14.40,J. Howard RB ,6.40,P. Barber RB - WAS ,0.10,K. Golladay WR - DET Q ,0.00,T. McLaurin WR - WAS ,18.50,140.90,Julian,119.48
Simon,7,R. Wilson QB - SEA ,33.42,J. Mixon RB - CIN IR ,8.60,S. Barkley RB - NYG IR ,2.80,J. Jones WR - ATL Q ,2.40,T. Lockett WR - SEA ,12.70,E. Engram TE - NYG ,6.50,J. Smith-Schuster WR - PIT ,4.80,M. Prater K - DET ,3.00,Steelers DEF ,13.00,T. Hilton WR - IND ,2.80,R. Mostert RB - SF IR ,16.70,L. Fournette RB - TB ,23.60,K. Johnson RB - DET ,9.20,J. Burrow QB - CIN IR ,24.54,H. Ruggs WR - LV Q ,0.40,87.22,Erik,133.54
Tommy,8,D. Brees QB - NO ,14.48,J. Conner RB - PIT ,18.10,A. Ekeler RB - LAC Q ,14.80,T. Hill WR - KC ,16.80,M. Brown WR - BAL ,4.20,R. Gronkowski TE - TB ,0.00,A. Cooper WR - DAL Q ,10.00,R. Gould K - SF ,7.00,Saints DEF ,4.00,L. Bell RB - KC ,0.00,S. Watkins WR - KC ,1.10,M. Thomas WR - NO Q ,0.00,C. Sutton WR - DEN IR ,6.60,C. Lamb WR - DAL ,11.50,B. Aiyuk WR - SF Q ,2.10,89.38,Matthias,129.30
Julian,6,P. Mahomes QB - KC Q ,27.48,A. Kamara RB - NO ,29.40,J. Jacobs RB - LV ,10.50,A. Thielen WR - MIN ,3.10,D. Chark WR - JAX Q ,8.40,D. Waller TE - LV ,16.50,A. Peterson RB - DET ,4.10,Y. Koo K - ATL ,15.00,49ers DEF ,5.00,O. Beckham WR - CLE IR ,13.40,M. Brown RB - LA ,4.70,C. Kupp WR - LA Q ,8.00,D. Singletary RB - BUF ,7.60,J. Dobbins RB - BAL ,6.10,Z. Moss RB - BUF IR ,3.70,119.48,Marvin,140.90
marco,3,D. Watson QB - HOU ,14.70,E. Elliott RB - DAL ,16.20,J. Taylor RB - IND ,17.00,D. Adams WR - GB ,3.60,D. Moore WR - CAR ,12.00,T. Higbee TE - LA ,23.40,T. Gurley RB - ATL ,6.10,S. Gostkowski K - TEN ,11.00,Bills DEF ,2.00,M. Ingram RB - BAL ,13.70,J. Landry WR - CLE ,4.60,G. Kittle TE - SF ,0.00,P. Lindsay RB - DEN IR ,0.00,N. Harry WR - NE ,7.20,J. Jeudy WR - DEN ,6.20,106.00,Benjamin,94.26
