Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benjamin,3,A. Rodgers QB - GB ,28.12,D. Cook RB - MIN ,10.40,C. Carson RB - SEA ,16.90,J. Landry WR - CLE ,7.60,D. Adams WR - GB ,18.40,M. Andrews TE - BAL ,11.00,J. Williams RB - IND ,2.50,M. Crosby K - GB ,7.00,Steelers DEF ,13.00,J. Jones WR - ATL ,0.00,R. Tannehill QB - TEN ,13.78,D. Parker WR - MIA ,27.90,T. Coleman RB - SF ,1.50,J. Conner RB - PIT ,0.00,A. Mattison RB - MIN ,7.30,114.92,marco,61.86
Erik,1,L. Jackson QB - BAL ,22.30,M. Ingram RB - BAL ,6.20,A. Jones RB - GB ,3.10,D. Hopkins WR - HOU ,10.64,O. Beckham WR - CLE ,2.90,G. Kittle TE - SF ,1.40,J. Jacobs RB - LV ,10.40,G. Zuerlein K - LA ,10.00,Patriots DEF ,2.00,G. Tate WR - NYG ,0.00,J. Brown WR - BUF ,7.72,A. Cooper WR - DAL ,8.50,D. Johnson RB - ARI ,2.40,K. Drake RB - ARI ,5.10,R. Penny RB - SEA ,22.70,68.94,Julian,85.40
Matthias,7,D. Prescott QB - DAL ,22.70,L. Bell RB - NYJ ,6.70,N. Chubb RB - CLE ,7.90,K. Allen WR - LAC ,12.80,C. Ridley WR - ATL ,9.10,D. Waller TE - LV ,10.00,M. Gordon RB - LAC ,11.00,M. Gay K - TB ,8.00,Panthers DEF ,4.00,T. Hilton WR - IND ,0.00,M. Jones WR - DET ,10.00,C. Wentz QB - PHI ,24.40,A. Hooper TE - ATL ,0.00,P. Lindsay RB - DEN ,6.20,Ravens DEF ,5.00,92.20,Simon,95.54
Marvin,2,D. Watson QB - HOU ,27.86,C. McCaffrey RB - CAR ,10.20,M. Sanders RB - PHI ,16.50,M. Evans WR - TB ,5.30,T. Lockett WR - SEA ,0.00,T. Kelce TE - KC ,9.00,L. McCoy RB - KC ,9.00,W. Lutz K - NO ,14.00,Rams DEF ,18.00,C. Hyde RB - HOU ,2.20,W. Fuller WR - HOU ,0.80,K. Golladay WR - DET ,21.80,S. Michel RB - NE ,4.50,M. Brown WR - BAL ,0.10,B. Snell RB - PIT ,12.70,109.86,Tommy,74.40
Simon,5,T. Brady QB - NE ,24.34,D. Henry RB - TEN ,20.60,S. Barkley RB - NYG ,11.50,T. Hill WR - KC ,5.10,T. McLaurin WR - WAS ,0.80,J. Cook TE - NO ,8.50,D. Montgomery RB - CHI ,14.70,J. Tucker K - BAL ,8.00,Jets DEF ,2.00,K. Rudolph TE - MIN ,11.00,K. Cousins QB - MIN ,17.04,A. Thielen WR - MIN ,0.00,J. Howard RB - PHI ,0.00,J. Smith-Schuster WR - PIT ,0.00,D. Metcalf WR - SEA ,5.50,95.54,Matthias,92.20
Tommy,4,P. Mahomes QB - KC ,19.50,A. Kamara RB - NO ,8.40,D. Singletary RB - BUF ,16.10,M. Thomas WR - NO ,4.80,C. Godwin WR - TB ,5.00,H. Henry TE - LAC ,1.00,A. Robinson WR - CHI ,14.60,Z. Gonzalez K - ARI ,1.00,49ers DEF ,4.00,J. Edelman WR - NE ,15.90,D. Freeman RB - ATL ,6.40,K. Hunt RB - CLE ,12.50,J. Hollister TE - SEA ,4.40,D. Moore WR - CAR ,13.20,K. Murray QB - ARI ,13.32,74.40,Marvin,109.86
Julian,6,R. Wilson QB - SEA ,16.90,T. Gurley RB - LA ,17.50,R. Jones RB - TB ,0.80,S. Diggs WR - MIN ,5.20,D. Chark WR - JAX ,4.70,J. Graham TE - GB ,1.60,A. Ekeler RB - LAC ,12.70,H. Butker K - KC ,10.00,Saints DEF ,16.00,E. Engram TE - NYG ,0.00,L. Fournette RB - JAX ,9.10,M. Gallup WR - DAL ,6.30,C. Sutton WR - DEN ,19.40,J. Allen QB - BUF ,23.54,M. Prater K - DET ,8.00,85.40,Erik,68.94
marco,8,D. Brees QB - NO ,11.26,E. Elliott RB - DAL ,13.70,J. Mixon RB - CIN ,13.00,E. Sanders WR - SF ,4.10,C. Kupp WR - LA ,12.50,Z. Ertz TE - PHI ,2.40,T. Williams WR - LV ,0.90,B. Maher K ,1.00,Lions DEF ,3.00,G. Olsen TE - CAR ,2.20,S. Shepard WR - NYG ,10.00,P. Barber RB - TB ,18.40,M. Mack RB - IND ,0.00,N. Harry WR - NE ,0.00,Chiefs DEF ,18.00,61.86,Benjamin,114.92
