Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,7,A. Rodgers QB - GB ,14.36,J. Conner RB - PIT ,10.50,D. Cook RB - MIN ,25.10,R. Woods WR - LA ,4.20,D. Adams WR - GB ,10.60,G. Kittle TE - SF ,5.40,M. Breida RB - SF ,13.20,K. Fairbairn K - HOU ,7.00,Bears DEF ,5.00,J. Gordon WR - SEA ,1.90,D. Johnson RB - HOU ,3.10,C. Godwin WR - TB ,18.10,K. Johnson RB - DET ,14.80,M. Andrews TE - BAL ,17.20,D. Singletary RB - BUF ,11.70,95.36,Ritz,92.40
Erik,1,L. Jackson QB - BAL ,30.88,M. Ingram RB - BAL ,7.70,D. Johnson RB - ARI ,7.40,K. Allen WR - LAC ,9.80,O. Beckham WR - CLE ,22.10,O. Howard TE - TB ,0.00,J. Jacobs RB - LV ,9.90,G. Zuerlein K - LA ,9.00,Patriots DEF ,37.00,L. Murray RB - NO ,2.30,B. Cooks WR - LA ,13.60,D. Waller TE - LV ,6.30,A. Jones RB - GB ,21.00,B. Mayfield QB - CLE ,15.00,C. Ridley WR - ATL ,16.50,133.78,Marv,86.46
Ritz,8,M. Ryan QB - ATL ,19.10,L. Bell RB - NYJ ,10.90,N. Chubb RB - CLE ,15.80,T. Hilton WR - IND ,10.30,A. Cooper WR - DAL ,10.40,T. Hockenson TE - DET ,0.70,T. Boyd WR - CIN ,12.20,B. Maher K ,7.00,Vikings DEF ,6.00,E. Sanders WR - SF ,17.80,M. Brown RB - LA ,4.70,T. Coleman RB - SF ,0.00,M. Gordon RB - LAC ,0.00,D. Prescott QB - DAL ,27.66,P. Lindsay RB - DEN ,6.60,92.40,Benni,95.36
Marv,6,D. Watson QB - HOU ,12.86,C. McCaffrey RB - CAR ,5.30,M. Mack RB - IND ,6.30,M. Evans WR - TB ,6.10,T. Lockett WR - SEA ,7.90,T. Kelce TE - KC ,16.70,S. Michel RB - NE ,12.30,W. Lutz K - NO ,11.00,Rams DEF ,8.00,L. McCoy RB - KC ,2.30,W. Fuller WR - HOU ,4.00,C. Kirk WR - ARI ,11.40,D. Moore WR - CAR ,8.90,M. Brown WR - BAL ,8.60,M. Sanders RB - PHI ,3.70,86.46,Erik,133.78
Simi,2,T. Brady QB - NE ,24.66,D. Henry RB - TEN ,15.40,S. Barkley RB - NYG ,19.50,A. Thielen WR - MIN ,7.50,J. Smith-Schuster WR - PIT ,8.40,J. Cook TE - NO ,2.50,D. Metcalf WR - SEA ,12.10,J. Tucker K - BAL ,13.00,Ravens DEF ,4.00,A. Green WR - CIN ,0.00,C. Newton QB - CAR ,11.32,E. Ebron TE - IND ,8.50,J. Howard RB - PHI ,2.60,T. Hill WR - KC ,0.00,D. Montgomery RB - CHI ,12.80,107.06,Juschka,67.92
Tommy,3,P. Mahomes QB - KC ,31.62,A. Kamara RB - NO ,6.00,C. Carson RB - SEA ,6.70,J. Jones WR - ATL ,22.60,M. Thomas WR - NO ,8.90,D. Njoku TE - CLE ,0.00,S. Watkins WR - KC ,4.90,R. Gould K - SF ,11.00,Browns DEF ,13.00,J. Edelman WR - NE ,5.20,R. Cobb WR - DAL ,3.50,A. Robinson WR - CHI ,4.10,D. Freeman RB - ATL ,6.40,D. Westbrook WR - JAX ,0.30,K. Hunt RB - CLE ,0.00,104.72,Kessi,94.24
Juschka,4,D. Brees QB - NO ,-0.48,T. Gurley RB - LA ,12.70,L. Fournette RB - JAX ,8.70,D. Hopkins WR - HOU ,4.00,S. Diggs WR - MIN ,8.90,E. Engram TE - NYG ,4.80,A. Ekeler RB - LAC ,17.30,H. Butker K - KC ,4.00,Chargers DEF ,8.00,D. Jackson WR - PHI ,0.00,L. Fitzgerald WR - ARI ,10.40,M. Sanu WR - NE ,1.60,J. Landry WR - CLE ,3.20,J. White RB - NE ,8.90,D. Williams RB - KC ,5.60,67.92,Simi,107.06
Kessi,5,C. Wentz QB - PHI ,17.54,E. Elliott RB - DAL ,18.00,J. Mixon RB - CIN ,2.70,A. Brown WR ,12.10,K. Golladay WR - DET ,17.70,Z. Ertz TE - PHI ,9.20,A. Jeffery WR - PHI ,0.00,S. Gostkowski K - NE ,7.00,Texans DEF ,10.00,S. Shepard WR - NYG ,0.00,R. Anderson WR - NYJ ,8.10,P. Barber RB - TB ,14.90,C. Kupp WR - LA ,12.60,T. Cohen RB - CHI ,2.50,R. Jones RB - TB ,0.90,94.24,Tommy,104.72
