Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,6,A. Rodgers QB - GB ,9.42,J. Conner RB - PIT ,11.50,D. Cook RB - MIN ,19.80,R. Woods WR - LA ,4.80,C. Godwin WR - TB ,24.50,G. Kittle TE - SF ,14.80,J. Gordon WR - SEA ,5.90,J. Slye K - CAR ,4.00,Bears DEF ,4.00,D. Adams WR - GB ,0.00,W. Gallman RB - NYG ,1.40,M. Breida RB - SF ,24.90,K. Johnson RB - DET ,0.00,M. Andrews TE - BAL ,4.50,D. Singletary RB - BUF ,0.00,98.72,Erik,113.84
Erik,1,L. Jackson QB - BAL ,11.44,M. Ingram RB - BAL ,10.90,D. Johnson RB - ARI ,15.60,K. Allen WR - LAC ,1.80,O. Beckham WR - CLE ,3.00,D. Waller TE - LV ,3.90,A. Jones RB - GB ,42.20,G. Zuerlein K - LA ,11.00,Patriots DEF ,14.00,G. Tate WR - NYG ,1.30,B. Cooks WR - LA ,5.60,C. Ridley WR - ATL ,14.80,D. Williams RB - KC ,0.00,J. Jacobs RB - LV ,26.30,T. McLaurin WR - WAS ,5.10,113.84,Benni,98.72
Ritz,8,D. Prescott QB - DAL ,23.22,L. Bell RB - NYJ ,8.80,M. Gordon RB - LAC ,3.80,A. Cooper WR - DAL ,28.60,T. Boyd WR - CIN ,18.30,A. Hooper TE - ATL ,7.60,N. Chubb RB - CLE ,9.90,M. Gay K - TB ,6.00,Vikings DEF ,12.00,M. Ryan QB - ATL ,31.90,E. Sanders WR - SF ,0.90,G. Olsen TE - CAR ,0.00,T. Hilton WR - IND ,3.70,T. Coleman RB - SF ,15.70,P. Lindsay RB - DEN ,20.70,118.22,Tommy,128.96
Marv,3,D. Watson QB - HOU ,41.74,C. McCaffrey RB - CAR ,41.70,M. Mack RB - IND ,14.80,M. Evans WR - TB ,0.00,T. Lockett WR - SEA ,10.30,T. Kelce TE - KC ,7.00,S. Michel RB - NE ,18.30,W. Lutz K - NO ,7.00,Rams DEF ,2.00,L. McCoy RB - KC ,0.30,C. Hyde RB - HOU ,12.00,W. Fuller WR - HOU ,39.70,D. Moore WR - CAR ,9.10,M. Brown WR - BAL ,8.20,M. Sanders RB - PHI ,6.40,142.84,Juschka,112.92
Simi,4,T. Brady QB - NE ,23.92,F. Gore RB - BUF ,6.90,D. Henry RB - TEN ,13.80,A. Thielen WR - MIN ,25.00,J. Smith-Schuster WR - PIT ,11.50,W. Dissly TE - SEA ,8.80,J. Howard RB - PHI ,12.20,J. Tucker K - BAL ,14.00,Saints DEF ,6.00,A. Green WR - CIN ,0.00,T. Hill WR - KC ,0.00,S. Barkley RB - NYG ,0.00,D. Montgomery RB - CHI ,9.60,D. Metcalf WR - SEA ,10.40,Ravens DEF ,5.00,122.12,Kessi,95.36
Tommy,2,P. Mahomes QB - KC ,18.54,D. Freeman RB - ATL ,13.00,A. Kamara RB - NO ,10.92,J. Jones WR - ATL ,4.20,M. Thomas WR - NO ,30.20,E. Ebron TE - IND ,0.80,C. Carson RB - SEA ,18.30,Z. Gonzalez K - ARI ,14.00,49ers DEF ,19.00,J. Edelman WR - NE ,17.00,R. Cobb WR - DAL ,5.30,S. Watkins WR - KC ,0.00,A. Robinson WR - CHI ,21.70,D. Westbrook WR - JAX ,8.20,K. Hunt RB - CLE ,0.00,128.96,Ritz,118.22
Juschka,7,R. Wilson QB - SEA ,29.92,T. Gurley RB - LA ,15.70,L. Fournette RB - JAX ,19.70,L. Fitzgerald WR - ARI ,5.80,D. Hopkins WR - HOU ,8.80,E. Engram TE - NYG ,4.70,A. Ekeler RB - LAC ,7.30,H. Butker K - KC ,7.00,Chargers DEF ,14.00,D. Jackson WR - PHI ,0.00,J. White RB - NE ,7.20,D. Williams RB - KC ,3.80,S. Diggs WR - MIN ,4.40,J. Ross WR - CIN ,0.00,D. Chark WR - JAX ,28.40,112.92,Marv,142.84
Kessi,5,C. Wentz QB - PHI ,12.06,E. Elliott RB - DAL ,15.10,J. Mixon RB - CIN ,10.90,S. Shepard WR - NYG ,4.70,C. Kupp WR - LA ,17.70,Z. Ertz TE - PHI ,11.70,A. Jeffery WR - PHI ,5.20,J. Lambo K - JAX ,9.00,Texans DEF ,9.00,T. Williams WR - LV ,0.00,R. Anderson WR - NYJ ,1.60,P. Barber RB - TB ,9.10,K. Golladay WR - DET ,0.00,T. Cohen RB - CHI ,4.90,R. Jones RB - TB ,5.60,95.36,Simi,122.12
