Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,4,A. Rodgers QB - GB ,18.32,D. Cook RB - MIN ,11.40,C. Carson RB - SEA ,21.90,J. Jones WR - ATL ,10.80,R. Woods WR - LA ,7.60,M. Andrews TE - BAL ,7.90,K. Johnson RB - DET ,12.10,J. Slye K - CAR ,13.00,Panthers DEF ,21.00,D. Adams WR - GB ,0.00,J. Conner RB - PIT ,23.90,M. Breida RB - SF ,6.30,C. Sutton WR - DEN ,7.60,D. Singletary RB - BUF ,0.00,Bears DEF ,0.00,124.02,Simi,78.56
Erik,1,L. Jackson QB - BAL ,30.64,M. Ingram RB - BAL ,13.40,D. Johnson RB - ARI ,22.20,O. Beckham WR - CLE ,10.10,A. Cooper WR - DAL ,0.30,J. Graham TE - GB ,1.70,A. Jones RB - GB ,4.00,G. Zuerlein K - LA ,1.00,Patriots DEF ,25.00,G. Tate WR - NYG ,16.20,B. Cooks WR - LA ,3.20,M. Brown RB - LA ,4.00,D. Waller TE - LV ,0.00,J. Jacobs RB - LV ,0.00,T. McLaurin WR - WAS ,22.00,108.34,Juschka,70.00
Ritz,8,M. Ryan QB - ATL ,30.94,L. Bell RB - NYJ ,11.30,N. Chubb RB - CLE ,23.90,K. Allen WR - LAC ,3.30,T. Boyd WR - CIN ,1.00,A. Hooper TE - ATL ,17.70,M. Gordon RB - LAC ,4.80,M. Gay K - TB ,6.00,Vikings DEF ,9.00,G. Olsen TE - CAR ,5.20,T. Hilton WR - IND ,0.00,T. Coleman RB - SF ,12.10,D. Prescott QB - DAL ,18.22,P. Lindsay RB - DEN ,13.50,C. Ridley WR - ATL ,10.80,107.94,Kessi,77.04
Marv,2,D. Watson QB - HOU ,29.40,C. Hyde RB - HOU ,17.00,C. McCaffrey RB - CAR ,17.70,M. Evans WR - TB ,11.60,T. Lockett WR - SEA ,7.80,T. Kelce TE - KC ,5.80,S. Michel RB - NE ,11.30,W. Lutz K - NO ,7.00,Rams DEF ,7.00,L. McCoy RB - KC ,4.40,W. Fuller WR - HOU ,4.40,M. Mack RB - IND ,0.00,D. Moore WR - CAR ,8.60,M. Brown WR - BAL ,0.00,M. Sanders RB - PHI ,15.20,114.60,Tommy,103.52
Simi,5,T. Brady QB - NE ,21.96,J. Howard RB - PHI ,4.90,D. Henry RB - TEN ,3.30,A. Thielen WR - MIN ,11.70,J. Smith-Schuster WR - PIT ,0.70,W. Dissly TE - SEA ,0.00,T. Hill WR - KC ,20.00,J. Tucker K - BAL ,11.00,Ravens DEF ,5.00,A. Green WR - CIN ,0.00,S. Barkley RB - NYG ,0.00,D. Montgomery RB - CHI ,0.00,D. Metcalf WR - SEA ,7.30,Saints DEF ,11.00,-,-,78.56,Benni,124.02
Tommy,3,P. Mahomes QB - KC ,18.82,D. Freeman RB - ATL ,23.80,A. Kamara RB - NO ,6.60,M. Thomas WR - NO ,8.90,C. Godwin WR - TB ,15.10,G. Kittle TE - SF ,10.30,D. Robinson WR - KC ,0.00,Z. Gonzalez K - ARI ,10.00,49ers DEF ,10.00,J. Edelman WR - NE ,11.30,S. Watkins WR - KC ,0.00,J. Landry WR - CLE ,3.60,A. Robinson WR - CHI ,0.00,D. Westbrook WR - JAX ,5.30,K. Hunt RB - CLE ,0.00,103.52,Marv,114.60
Juschka,7,R. Wilson QB - SEA ,28.90,L. Fournette RB - JAX ,11.80,A. Ekeler RB - LAC ,2.80,D. Hopkins WR - HOU ,7.50,D. Chark WR - JAX ,4.30,G. Everett TE - LA ,0.90,M. Gallup WR - DAL ,4.80,H. Butker K - KC ,6.00,Chargers DEF ,3.00,L. Fitzgerald WR - ARI ,6.90,J. White RB - NE ,4.50,D. Williams RB - KC ,8.00,T. Gurley RB - LA ,0.00,S. Diggs WR - MIN ,36.50,E. Engram TE - NYG ,0.00,70.00,Erik,108.34
Kessi,6,C. Wentz QB - PHI ,20.54,E. Elliott RB - DAL ,21.30,R. Jones RB - TB ,7.00,S. Shepard WR - NYG ,0.00,C. Kupp WR - LA ,1.70,Z. Ertz TE - PHI ,3.40,K. Golladay WR - DET ,12.10,J. Lambo K - JAX ,6.00,Texans DEF ,5.00,A. Jeffery WR - PHI ,13.60,T. Williams WR - LV ,0.00,R. Anderson WR - NYJ ,18.50,P. Barber RB - TB ,2.80,J. Mixon RB - CIN ,3.90,T. Cohen RB - CHI ,0.00,77.04,Ritz,107.94
