Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,4,J. Allen QB - BUF ,17.26,J. Conner RB - PIT ,21.00,D. Cook RB - MIN ,23.10,J. Jones WR - ATL ,15.20,C. Sutton WR - DEN ,7.20,D. Waller TE - LV ,7.10,C. Carson RB - SEA ,15.00,M. Prater K - DET ,9.00,Steelers DEF ,13.00,M. Ryan QB - ATL ,0.00,R. Woods WR - LA ,4.20,D. Adams WR - GB ,0.00,M. Breida RB - SF ,5.00,M. Andrews TE - BAL ,0.00,Bills DEF ,4.00,127.86,Simi,103.66
Erik,1,A. Rodgers QB - GB ,27.10,A. Jones RB - GB ,34.60,J. Jacobs RB - LV ,8.10,J. Brown WR - BUF ,5.40,T. McLaurin WR - WAS ,3.90,G. Kittle TE - SF ,8.60,G. Tate WR - NYG ,8.50,G. Zuerlein K - LA ,6.00,Patriots DEF ,21.00,M. Ingram RB - BAL ,0.00,O. Beckham WR - CLE ,5.20,A. Cooper WR - DAL ,0.00,D. Johnson RB - ARI ,0.00,K. Drake RB - ARI ,0.00,L. Jackson QB - BAL ,0.00,123.20,Ritz,74.10
Ritz,8,K. Cousins QB - MIN ,11.60,L. Bell RB - NYJ ,3.50,N. Chubb RB - CLE ,9.80,T. Hilton WR - IND ,5.40,C. Ridley WR - ATL ,9.00,A. Hooper TE - ATL ,12.50,C. Edmonds RB - ARI ,1.30,R. Gould K - SF ,9.00,Vikings DEF ,12.00,K. Allen WR - LAC ,5.30,T. Coleman RB - SF ,35.80,M. Gordon RB - LAC ,9.40,D. Prescott QB - DAL ,0.00,T. Boyd WR - CIN ,6.80,P. Lindsay RB - DEN ,7.60,74.10,Erik,123.20
Marv,2,D. Watson QB - HOU ,27.76,C. McCaffrey RB - CAR ,23.50,M. Mack RB - IND ,15.00,M. Evans WR - TB ,31.80,T. Lockett WR - SEA ,10.00,T. Kelce TE - KC ,12.30,S. Michel RB - NE ,7.40,W. Lutz K - NO ,7.00,Rams DEF ,9.00,L. McCoy RB - KC ,4.30,C. Hyde RB - HOU ,8.30,W. Fuller WR - HOU ,0.00,T. Johnson RB - DET ,3.80,M. Brown WR - BAL ,0.00,M. Sanders RB - PHI ,19.80,143.76,Juschka,97.68
Simi,5,T. Brady QB - NE ,18.36,D. Henry RB - TEN ,6.30,S. Barkley RB - NYG ,20.30,T. Hill WR - KC ,8.10,D. Metcalf WR - SEA ,13.30,J. Graham TE - GB ,2.00,J. Smith-Schuster WR - PIT ,16.30,J. Myers K - SEA ,11.00,Saints DEF ,8.00,A. Green WR - CIN ,0.00,F. Gore RB - BUF ,3.40,A. Thielen WR - MIN ,0.00,J. Howard RB - PHI ,17.10,D. Montgomery RB - CHI ,20.70,J. Tucker K - BAL ,0.00,103.66,Benni,127.86
Tommy,3,K. Murray QB - ARI ,10.10,L. Murray RB - NO ,27.70,D. Freeman RB - ATL ,8.20,M. Thomas WR - NO ,16.30,C. Godwin WR - TB ,6.30,H. Henry TE - LAC ,4.70,M. Jones WR - DET ,2.20,Z. Gonzalez K - ARI ,11.00,49ers DEF ,17.00,J. Edelman WR - NE ,19.50,S. Watkins WR - KC ,4.50,A. Robinson WR - CHI ,6.20,K. Hunt RB - CLE ,0.00,A. Kamara RB - NO ,0.00,P. Mahomes QB - KC ,0.00,103.50,Kessi,111.68
Juschka,7,R. Wilson QB - SEA ,15.68,T. Gurley RB - LA ,10.40,L. Fournette RB - JAX ,13.60,D. Hopkins WR - HOU ,10.90,D. Chark WR - JAX ,13.90,E. Engram TE - NYG ,10.00,A. Ekeler RB - LAC ,8.20,H. Butker K - KC ,6.00,Chargers DEF ,9.00,L. Fitzgerald WR - ARI ,0.80,J. White RB - NE ,7.90,D. Williams RB - KC ,9.00,S. Diggs WR - MIN ,12.30,G. Everett TE - LA ,1.50,M. Gallup WR - DAL ,0.00,97.68,Marv,143.76
Kessi,6,C. Wentz QB - PHI ,14.38,J. Mixon RB - CIN ,13.70,R. Jones RB - TB ,5.20,T. Williams WR - LV ,15.10,C. Kupp WR - LA ,28.00,Z. Ertz TE - PHI ,2.00,K. Golladay WR - DET ,22.30,J. Lambo K - JAX ,11.00,Texans DEF ,0.00,A. Jeffery WR - PHI ,6.40,E. Elliott RB - DAL ,0.00,S. Shepard WR - NYG ,0.00,R. Anderson WR - NYJ ,4.30,P. Barber RB - TB ,2.80,T. Cohen RB - CHI ,4.60,111.68,Tommy,103.50
