Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,2,K. Cousins QB - MIN ,27.38,D. Johnson RB - ARI ,7.90,C. McCaffrey RB - CAR ,35.70,A. Thielen WR - MIN ,18.50,O. Beckham WR - NYG ,8.50,G. Kittle TE - SF ,5.80,J. Conner RB - PIT ,7.50,M. Bryant K - ATL ,5.00,Bears DEF ,13.00,M. Ingram RB - NO ,6.60,A. Rodgers QB - GB ,11.92,J. Gordon WR - NE ,7.00,R. Woods WR - LA ,0.00,J. Doyle TE - IND ,7.60,M. Mack RB - IND ,9.60,129.28,Marv,120.76
Erik,7,A. Luck QB - IND ,22.62,E. Elliott RB - DAL ,20.30,N. Chubb RB - CLE ,24.80,D. Hopkins WR - HOU ,7.40,K. Golladay WR - DET ,9.00,D. Njoku TE - CLE ,12.30,A. Jeffery WR - PHI ,3.90,J. Tucker K - BAL ,10.00,Jaguars DEF ,0.00,R. Wilson QB - SEA ,21.96,L. Miller RB - HOU ,22.70,T. Kelce TE - KC ,0.00,J. Howard RB - CHI ,1.50,T. Boyd WR - CIN ,14.50,P. Lindsay RB - DEN ,17.00,110.32,Ritz,112.78
Ritz,1,B. Roethlisberger QB - PIT ,20.28,J. Mixon RB - CIN ,15.50,A. Kamara RB - NO ,9.80,M. Evans WR - TB ,11.60,D. Adams WR - GB ,12.90,Z. Ertz TE - PHI ,15.10,E. Sanders WR - DEN ,14.60,M. Crosby K - GB ,5.00,Chargers DEF ,8.00,J. Edelman WR - NE ,14.40,A. Cooper WR - DAL ,30.00,D. Henry RB - TEN ,2.90,K. Hunt RB ,0.00,D. Watson QB - HOU ,29.40,H. Butker K - KC ,0.00,112.78,Erik,110.32
Marv,5,P. Rivers QB - LAC ,20.66,L. Fournette RB - JAX ,22.80,M. Breida RB - SF ,14.00,J. Jones WR - ATL ,12.80,K. Allen WR - LAC ,13.20,T. Burton TE - CHI ,0.80,S. Michel RB - NE ,20.50,W. Lutz K - NO ,7.00,Texans DEF ,9.00,B. Marshall WR ,0.00,A. Robinson WR - CHI ,3.70,I. Crowell RB - NYJ ,6.00,T. Lockett WR - SEA ,16.50,M. Trubisky QB - CHI ,0.00,K. Johnson RB - DET ,0.00,120.76,Benni,129.28
Simi,6,C. Newton QB - CAR ,22.54,A. Jones RB - GB ,15.30,J. Adams RB - PHI ,16.40,A. Brown WR - PIT ,6.70,D. Baldwin WR - SEA ,3.90,V. McDonald TE - PIT ,2.70,D. Cook RB - MIN ,13.60,K. Fairbairn K - HOU ,10.00,Patriots DEF ,8.00,M. Ryan QB - ATL ,20.68,J. Graham TE - GB ,3.40,A. Green WR - CIN ,0.00,K. Drake RB - MIA ,21.60,T. Cohen RB - CHI ,11.90,Vikings DEF ,7.00,99.14,Kessi,92.74
Tommy,4,T. Brady QB - NE ,19.22,P. Barber RB - TB ,12.30,G. Edwards RB - BAL ,11.80,M. Thomas WR - NO ,3.80,J. Smith-Schuster WR - PIT ,24.90,G. Olsen TE - CAR ,1.10,L. Fitzgerald WR - ARI ,9.00,B. Maher K - DAL ,7.00,Steelers DEF ,2.00,S. Watkins WR - KC ,0.00,J. Brown WR - BAL ,2.50,T. Gurley RB - LA ,0.00,A. Collins RB - BAL ,0.00,P. Mahomes QB - KC ,0.00,Rams DEF ,0.00,91.12,Juschka,110.94
Juschka,3,D. Brees QB - NO ,20.44,M. Gordon RB - LAC ,18.60,S. Barkley RB - NYG ,26.20,S. Diggs WR - MIN ,14.90,T. Smith WR - NO ,0.00,E. Ebron TE - IND ,16.50,T. Coleman RB - ATL ,8.30,J. Lambo K - JAX ,3.00,Redskins DEF ,3.00,J. Cook TE - LV ,9.20,A. Peterson RB - WAS ,4.40,T. Hill WR - KC ,0.00,A. Ekeler RB - LAC ,16.30,C. Ridley WR - ATL ,13.30,G. Zuerlein K - LA ,0.00,110.94,Tommy,91.12
Kessi,8,C. Wentz QB - PHI ,13.24,L. McCoy RB - BUF ,5.30,J. White RB - NE ,7.80,T. Hilton WR - IND ,12.50,J. Landry WR - CLE ,3.00,R. Gronkowski TE - NE ,11.60,C. Carson RB - SEA ,12.30,S. Gostkowski K - NE ,9.00,Ravens DEF ,18.00,D. Lewis RB - TEN ,4.10,D. Martin RB - LV ,13.20,B. Cooks WR - LA ,0.00,J. Goff QB - LA ,0.00,A. Hooper TE - ATL ,3.10,C. Parkey K - CHI ,5.00,92.74,Simi,99.14
