Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,2,B. Mayfield QB - CLE ,24.96,D. Johnson RB - ARI ,12.70,C. McCaffrey RB - CAR ,17.80,R. Woods WR - LA ,22.40,A. Thielen WR - MIN ,8.30,G. Kittle TE - SF ,7.40,C. Anderson RB - LA ,22.20,A. Vinatieri K - IND ,4.00,Bears DEF ,7.00,M. Ingram RB - NO ,10.30,A. Rodgers QB - GB ,42.88,S. Ware RB - KC ,0.00,O. Beckham WR - NYG ,0.00,R. Anderson WR - NYJ ,20.00,J. Allen QB - BUF ,11.68,126.76,Ritz,140.20
Erik,6,R. Wilson QB - SEA ,28.54,E. Elliott RB - DAL ,10.90,N. Chubb RB - CLE ,11.50,A. Jeffery WR - PHI ,8.20,D. Hopkins WR - HOU ,10.40,T. Kelce TE - KC ,5.40,P. Lindsay RB - DEN ,5.70,J. Tucker K - BAL ,12.00,Titans DEF ,13.00,A. Luck QB - IND ,21.58,L. Miller RB - HOU ,0.00,J. Howard RB - CHI ,13.00,T. Boyd WR - CIN ,0.00,D. Njoku TE - CLE ,13.30,K. Golladay WR - DET ,5.80,105.64,Marv,74.54
Ritz,1,B. Roethlisberger QB - PIT ,29.60,J. Mixon RB - CIN ,7.80,A. Kamara RB - NO ,22.50,M. Evans WR - TB ,15.00,D. Adams WR - GB ,13.10,Z. Ertz TE - PHI ,23.00,D. Henry RB - TEN ,15.20,H. Butker K - KC ,13.00,Broncos DEF ,1.00,J. Edelman WR - NE ,13.00,A. Cooper WR - DAL ,2.00,D. Watson QB - HOU ,36.46,M. Mack RB - IND ,9.80,J. Samuels RB - PIT ,12.40,C. Sutton WR - DEN ,12.50,140.20,Benni,126.76
Marv,5,P. Rivers QB - LAC ,3.34,L. Fournette RB - JAX ,13.10,S. Michel RB - NE ,17.60,J. Jones WR - ATL ,8.80,K. Allen WR - LAC ,5.80,T. Burton TE - CHI ,3.00,T. Lockett WR - SEA ,9.90,W. Lutz K - NO ,7.00,Texans DEF ,6.00,A. Robinson WR - CHI ,7.40,I. Crowell RB - NYJ ,0.00,M. Trubisky QB - CHI ,12.14,M. Breida RB - SF ,2.60,J. Jackson RB - LAC ,4.60,K. Johnson RB - DET ,0.00,74.54,Erik,105.64
Simi,7,M. Ryan QB - ATL ,19.46,D. Cook RB - MIN ,10.80,T. Cohen RB - CHI ,1.90,A. Brown WR - PIT ,30.50,D. Baldwin WR - SEA ,18.60,J. Graham TE - GB ,3.40,J. Adams RB - PHI ,0.10,K. Fairbairn K - HOU ,6.00,Jaguars DEF ,17.00,A. Green WR - CIN ,0.00,C. Newton QB - CAR ,0.00,A. Humphries WR - TB ,7.90,K. Drake RB - MIA ,5.40,A. Jones RB - GB ,0.00,Vikings DEF ,7.00,107.76,Kessi,112.26
Tommy,4,P. Mahomes QB - KC ,28.22,D. Williams RB - KC ,18.00,G. Edwards RB - BAL ,10.50,M. Thomas WR - NO ,16.90,M. Williams WR - LAC ,1.10,E. Engram TE - NYG ,11.30,J. Smith-Schuster WR - PIT ,9.50,B. Maher K - DAL ,11.00,Rams DEF ,8.00,T. Brady QB - NE ,5.04,L. Fitzgerald WR - ARI ,10.58,T. Gurley RB - LA ,0.00,P. Barber RB - TB ,5.60,J. Williams RB - GB ,21.60,Steelers DEF ,3.00,114.52,Juschka,77.04
Juschka,3,D. Brees QB - NO ,16.94,M. Gordon RB - LAC ,11.40,S. Barkley RB - NYG ,13.70,S. Diggs WR - MIN ,7.00,T. Hill WR - KC ,9.10,E. Ebron TE - IND ,2.80,T. Coleman RB - ATL ,5.10,G. Zuerlein K - LA ,7.00,Redskins DEF ,4.00,J. Cook TE - LV ,2.00,A. Peterson RB - WAS ,12.70,A. Ekeler RB - LAC ,0.00,C. Ridley WR - ATL ,15.00,T. Smith WR - NO ,1.10,Chiefs DEF ,-1.00,77.04,Tommy,114.52
Kessi,8,J. Goff QB - LA ,17.24,D. Martin RB - LV ,17.60,C. Carson RB - SEA ,23.60,T. Hilton WR - IND ,13.80,B. Cooks WR - LA ,6.20,R. Gronkowski TE - NE ,0.00,J. Landry WR - CLE ,7.82,S. Gostkowski K - NE ,6.00,Ravens DEF ,20.00,L. McCoy RB - BUF ,1.90,D. Lewis RB - TEN ,2.50,J. Gordon WR - NE ,0.00,J. White RB - NE ,11.40,C. Wentz QB - PHI ,0.00,A. Hooper TE - ATL ,3.60,112.26,Simi,107.76
