Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Benni,3,A. Rodgers QB - GB ,28.40,D. Johnson RB - ARI ,10.90,C. McCaffrey RB - CAR ,6.60,A. Thielen WR - MIN ,18.30,O. Beckham WR - NYG ,4.40,G. Kittle TE - SF ,3.00,J. Conner RB - PIT ,24.90,K. Fairbairn K - HOU ,8.00,Bears DEF ,5.00,M. Ingram RB - NO ,0.00,J. Gordon WR - NE ,4.20,R. Woods WR - LA ,12.10,T. Burton TE - CHI ,8.30,C. Clement RB - PHI ,12.90,B. Mayfield QB - CLE ,12.32,109.50,Juschka,113.86
Erik,7,A. Luck QB - IND ,22.74,E. Elliott RB - DAL ,17.70,J. Howard RB - CHI ,4.90,D. Hopkins WR - HOU ,12.30,T. Boyd WR - CIN ,18.20,T. Kelce TE - KC ,6.10,A. Jones RB - GB ,4.10,J. Tucker K - BAL ,3.00,Jaguars DEF ,-1.00,D. Baldwin WR - SEA ,9.10,R. Wilson QB - SEA ,20.88,L. Miller RB - HOU ,7.10,A. Jeffery WR - PHI ,19.40,D. Funchess WR - CAR ,13.40,P. Lindsay RB - DEN ,6.60,88.04,Marv,116.90
Ritz,1,D. Watson QB - HOU ,5.28,K. Hunt RB ,24.50,J. Mixon RB - CIN ,14.40,M. Evans WR - TB ,5.80,D. Adams WR - GB ,25.20,Z. Ertz TE - PHI ,10.30,J. Edelman WR - NE ,12.10,C. Santos K - TB ,11.00,Chargers DEF ,10.00,E. Sanders WR - DEN ,17.50,G. Tate WR - PHI ,0.00,K. Cousins QB - MIN ,16.62,C. Thompson RB - WAS ,0.00,C. Hyde RB - JAX ,3.40,A. Kamara RB - NO ,0.00,118.58,Tommy,105.08
Marv,5,J. Winston QB - TB ,30.70,I. Crowell RB - NYJ ,5.20,S. Michel RB - NE ,22.60,J. Jones WR - ATL ,14.40,K. Allen WR - LAC ,10.30,K. Rudolph TE - MIN ,3.70,T. Lockett WR - SEA ,8.00,C. Parkey K - CHI ,4.00,Texans DEF ,18.00,P. Rivers QB - LAC ,14.28,A. Robinson WR - CHI ,12.40,J. White RB - NE ,9.20,L. Fournette RB - JAX ,0.00,M. Breida RB - SF ,12.10,W. Lutz K - NO ,0.00,116.90,Erik,88.04
Simi,6,M. Ryan QB - ATL ,27.50,A. Morris RB - SF ,0.00,K. Drake RB - MIA ,5.80,A. Green WR - CIN ,8.50,A. Brown WR - PIT ,16.50,J. Graham TE - GB ,10.40,D. Jackson WR - TB ,8.40,M. Bryant K - ATL ,12.00,Vikings DEF ,12.00,C. Newton QB - CAR ,23.30,D. Lewis RB - TEN ,1.40,S. Shepard WR - NYG ,3.70,D. Cook RB - MIN ,0.00,A. Ekeler RB - LAC ,6.00,Seahawks DEF ,17.00,101.10,Kessi,85.94
Tommy,4,P. Mahomes QB - KC ,26.98,T. Yeldon RB - JAX ,7.00,T. Gurley RB - LA ,34.50,C. Kupp WR - LA ,1.20,J. Smith-Schuster WR - PIT ,13.10,G. Olsen TE - CAR ,4.80,N. Hines RB - IND ,3.50,D. Bailey K - MIN ,9.00,Rams DEF ,5.00,J. Nelson WR - LV ,0.60,T. Brady QB - NE ,21.80,S. Watkins WR - KC ,1.70,D. Freeman RB - ATL ,0.00,A. Collins RB - BAL ,17.40,M. Thomas WR - NO ,0.00,105.08,Ritz,118.58
Juschka,2,A. Dalton QB - CIN ,17.16,M. Gordon RB - LAC ,33.00,S. Barkley RB - NYG ,28.90,S. Diggs WR - MIN ,4.20,C. Ridley WR - ATL ,4.70,J. Cook TE - LV ,1.00,M. Lynch RB - LV ,5.90,M. Crosby K - GB ,17.00,Titans DEF ,2.00,D. Brees QB - NO ,0.00,A. Peterson RB - WAS ,9.70,T. Coleman RB - ATL ,10.10,W. Fuller WR - HOU ,3.30,T. Hill WR - KC ,32.20,G. Zuerlein K - LA ,0.00,113.86,Benni,109.50
Kessi,8,J. Goff QB - LA ,7.44,L. McCoy RB - BUF ,9.40,C. Carson RB - SEA ,5.90,J. Landry WR - CLE ,1.10,B. Cooks WR - LA ,5.30,R. Gronkowski TE - NE ,9.70,W. Smallwood RB - PHI ,5.10,S. Gostkowski K - NE ,21.00,Ravens DEF ,21.00,D. Thomas WR - HOU ,11.70,T. Hilton WR - IND ,0.00,L. Bell RB - PIT ,0.00,M. Davis RB - SEA ,2.60,C. Wentz QB - PHI ,24.52,R. Freeman RB - DEN ,2.20,85.94,Simi,101.10
