TeamName	RegularSeasonRank	Record	PointsFor	PointsAgainst	PlayoffRank	ManagerName	Moves	Trades	DraftPosition
Ritz	1	13-1-0	1,675.46	1,425.76	3	Ritz	29	0	5
Benni	2	10-4-0	1,709.76	1,416.24	4	Benni	48	2	3
Juschka	3	9-5-0	1,591.48	1,486.98	2	Juschka	18	0	7
Tommy	4	8-6-0	1,532.66	1,455.60	1	Tommy	32	2	1
Marv	5	7-7-0	1,305.08	1,461.34	6	Marv	22	1	8
Erik	6	5-9-0	1,551.10	1,589.32	5	Erik	22	0	4
Simi	7	4-10-0	1,333.46	1,514.84	8	Simi	27	0	6
Kessi	8	0-14-0	1,209.10	1,558.02	7	Kessi	14	1	2
