Round,Overall,PickInRound,TeamName,ManagerName,OriginalSlot,Player,Pos,NFLTeam
1,1,1,Straight Outta Rehab,Benjamin,1,David Johnson,RB,ARI
| 8 | 59 | 3 | Los Kaltschalenzentrieros | Matthias | 6 | Keenan Allen | WR | LAC |
| 8 | 60 | 4 | Snatchville Lubricators | marco | 5 | Kansas City Chiefs | DEF | KC |
| 8 | 61 | 5 | oGucci United | Erik | 2 | Ty Montgomery | RB | GB |
| 8 | 62 | 6 | Every day im Russelln | Simon | 3 | Mark Ingram | RB | NO |
| 8 | 63 | 7 | oGucci United | Erik | 2 | Denver Broncos | DEF | DEN |
| 8 | 64 | 8 | Straight Outta Rehab | Benjamin | 1 | Sammy Watkins | WR | LA |
| 9 | 65 | 1 | Straight Outta Rehab | Benjamin | 1 | Dalvin Cook | RB | MIN |
| 9 | 66 | 2 | oGucci United | Erik | 2 | Stefon Diggs | WR | MIN |
| 9 | 67 | 3 | Every day im Russelln | Simon | 3 | Seattle Seahawks | DEF | SEA |
| 9 | 68 | 4 | WhoDatNation | Marvin | 4 | LeGarrette Blount | RB | PHI |
| 9 | 69 | 5 | Snatchville Lubricators | marco | 5 | Mike Gillislee | RB | NE |
| 9 | 70 | 6 | Los Kaltschalenzentrieros | Matthias | 6 | Emmanuel Sanders | WR | DEN |
| 9 | 71 | 7 | Promille Boords | Julian | 7 | Paul Perkins | RB | NYG |
| 9 | 72 | 8 | knockin on Evans door | Tommy | 8 | DeSean Jackson | WR | TB |
| 10 | 73 | 1 | knockin on Evans door | Tommy | 8 | Rob Kelley | RB | WAS |
| 10 | 74 | 2 | Promille Boords | Julian | 7 | Kelvin Benjamin | WR | BUF |
| 10 | 75 | 3 | Los Kaltschalenzentrieros | Matthias | 6 | Danny Woodhead | RB | BAL |
| 10 | 76 | 4 | Snatchville Lubricators | marco | 5 | Mike Wallace | WR | BAL |
| 10 | 77 | 5 | WhoDatNation | Marvin | 4 | Delanie Walker | TE | TEN |
| 10 | 78 | 6 | Every day im Russelln | Simon | 3 | Donte Moncrief | WR | IND |
| 10 | 79 | 7 | WhoDatNation | Marvin | 4 | Eddie Lacy | RB | SEA |
| 10 | 80 | 8 | Straight Outta Rehab | Benjamin | 1 | Martavis Bryant | WR | PIT |
| 11 | 81 | 1 | Straight Outta Rehab | Benjamin | 1 | Doug Martin | RB | TB |
| 11 | 82 | 2 | WhoDatNation | Marvin | 4 | Minnesota Vikings | DEF | MIN |
| 11 | 83 | 3 | Every day im Russelln | Simon | 3 | Latavius Murray | RB | MIN |
| 11 | 84 | 4 | WhoDatNation | Marvin | 4 | Samaje Perine | RB | WAS |
| 11 | 85 | 5 | Snatchville Lubricators | marco | 5 | Jeremy Hill | RB | CIN |
| 11 | 86 | 6 | Los Kaltschalenzentrieros | Matthias | 6 | Tyler Eifert | TE | CIN |
| 11 | 87 | 7 | Promille Boords | Julian | 7 | Kyle Rudolph | TE | MIN |
| 11 | 88 | 8 | knockin on Evans door | Tommy | 8 | Houston Texans | DEF | HOU |
| 12 | 89 | 1 | knockin on Evans door | Tommy | 8 | Matt Forte | RB | NYJ |
