TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
WhoDatNation,1,12-2-0,"1,664.62","1,429.72",4,Marvin,14,0
Promille Boords,2,9-5-0,"1,551.70","1,388.32",3,Julian,28,0
Brick Squad,3,8-6-0,"1,564.04","1,401.40",2,Benjamin,58,0
Snatchville Lubricators,4,7-7-0,"1,422.02","1,349.10",1,marco,18,0
Josefs Kellerboys,5,7-7-0,"1,380.24","1,465.68",5,Matthias,23,0
pls kill me United,6,5-9-0,"1,383.96","1,478.80",6,Erik,50,1
Every day im Russelln,7,4-10-0,"1,315.12","1,489.10",8,Simon,39,0
The Big Tebowski,8,4-10-0,"1,232.58","1,512.16",7,Tommy,52,1
