TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
Kessinho10,1,11-3-0,"1,448.58","1,178.28",2,marco,18,2,5
Fetti EV,2,9-5-0,"1,478.48","1,437.70",1,Benjamin,67,1,3
Die Punter,3,8-6-0,"1,308.28","1,272.74",4,Matthias,26,2,7
Amari and Dorial GmbH,4,8-6-0,"1,433.68","1,281.98",3,Simon,15,5,6
oG United,5,8-6-0,"1,437.90","1,468.16",6,Erik,37,12,8
colin's edelmaenner,6,4-10-0,"1,270.86","1,358.26",5,Tommy,24,2,4
WhoDatNation,7,4-10-0,"1,210.78","1,386.68",7,Marvin,32,5,2
Promille Boords,8,4-10-0,"1,213.60","1,418.36",8,Julian,32,5,1

